Genus	Species	1C (pg)	Original Reference	Paper
Cucurbita	pedatifolia	0.39	Sisko et al., 2003 (Ref. 500)	2011
Leontodon	longirostris	0.40	Marañón and Grubb, 1993 (Ref. 274)	1997
Veronica	glauca	0.40	Albach & Greilhuber, 2003 (Ref. 478)	2011
Capsella	bursa-pastoris	0.40	Lysák et al., 2009 (Ref. 599)	2011
Landoltia	punctata	0.41	Wang et al., 2011 (Ref. 683)	2012
Cucurbita	cylindrata	0.42	Sisko et al., 2003 (Ref. 500)	2011
Veronica	polita	0.42	Albach & Greilhuber, 2003 (Ref. 478)	2011
Atriplex	sabulosa	0.43	Belford and Thompson, 1981 (Ref. 150)	1991
Atriplex	serenana	0.43	Belford and Thompson, 1981 (Ref. 150)	1991
Polygonum	persicaria	0.43	Band, 1984 (Ref. 154)	1991
Cucurbita	moschata	0.43	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Lemna	aequinoctialis	0.43	Wang et al., 2011 (Ref. 683)	2012
Veronica	lycica	0.44	Albach & Greilhuber, 2003 (Ref. 478)	2011
Lemna	japonica	0.44	Wang et al., 2011 (Ref. 683)	2012
Arabidopsis	thaliana	0.44	Schmuths et al., 2004 (Ref. 494)	2011
Phaseolus	macvaughii	0.45	Mercado-Ruaro and Kenton, 1993 (Ref. 269-K)	1995
Lotus	coimbrensis	0.45	Cheng and Grant, 1973 (Ref. 38)	1976
Conyza	canadensis	0.45	Kubesová et al., 2010 (Ref. 630)	2012
Panicum	capillare	0.45	Kubesová et al., 2010 (Ref. 630)	2012
Cucurbita	maxima	0.46	Tatum et al., 2006 (Ref. 564)	2011
Lemna	trisulca	0.46	Wang et al., 2011 (Ref. 683)	2012
Oryza	nivara	0.47	Ammiraju et al., 2006 (Ref. 545)	2011
Cucurbita	ficifolia	0.47	Sisko et al., 2003 (Ref. 500)	2011
Chenopodium	pallidicaule	0.48	Bennett et al., 1976 (Ref. 108)	1991
Amaranthus	hypochondriacus	0.48	Bennett et al., 1976 (Ref. 108)	1991
Atriplex	phyllostegia	0.48	Belford and Thompson, 1981 (Ref. 150)	1991
Vigna	sublobata	0.48	Ignacimuthu and Babu, 1988 (Ref. 220)	1995
Medicago	truncatula	0.48	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Chenopodium	coronopus	0.48	Suda et al., 2005 (Ref. 552)	2011
Cuscuta	campestris	0.48	Kubesová et al., 2010 (Ref. 630)	2012
Lupinus	princei	0.49	Naganowska et al., 2003 (Ref. 520)	2011
Lupinus	micranthus	0.49	Naganowska et al., 2003 (Ref. 520)	2011
Oryza	sativa	0.50	Bennett et al., 1976 (Ref. 108)	1991
Brassica	hirta	0.50	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Sinapis	alba	0.50	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Lemna	obscura	0.50	Wang et al., 2011 (Ref. 683)	2012
Lemna	gibba G-3	0.50	Wang et al., 2011 (Ref. 683)	2012
Diplotaxis	erucoides	0.51	Lysák et al., 2009 (Ref. 599)	2011
Goodenia	mimuloides	0.52	Hanson et al., 2001 (Ref. 379)	2005a
Amaranthus	cruentus	0.53	Bennett et al., 1976 (Ref. 108)	1991
Plantago	ovata	0.53	Badr et al., 1987 (Ref. 173)	1995
Malva	parviflora	0.53	Bidak and Brandham, 1995 (Ref. 282)	1997
Setaria	italica	0.53	Bennett and Hanson, 1997 (Ref. 372)	2000
Vigna	radiata	0.53	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Sesamum	triphyllum	0.54	Hanson et al., 2001 (Ref. 378)	2005a
Lupinus	pusillus	0.54	Naganowska et al., 2006 (Ref. 524)	2011
Veronica	verna	0.54	Albach & Greilhuber, 2003 (Ref. 478)	2011
Aeonium	canariense	0.54	Suda et al., 2005 (Ref. 552)	2011
Lupinus	nanus	0.55	Naganowska et al., 2006 (Ref. 524)	2011
Vigna	angularis	0.55	Parida et al., 1990 (Ref. 166)	1995
Vigna	sinensis	0.55	Bennett and Smith, 1976 (Ref. 2)	1976
Fumaria	muralis	0.55	Bennett and Smith, 1976 (Ref. 2)	1976
Vigna	mungo	0.55	Ignacimuthu and Babu, 1988 (Ref. 220)	1995
Cucurbita	pepo	0.55	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Trifolium	decorum	0.55	Akmal, 1989 (Ref. 269-F)	1995
Brassica	tournefortii	0.55	Nagpal et al., 1996 (Ref. 296)	1997
Amaranthus	albus	0.55	Kubesová et al., 2010 (Ref. 630)	2012
Amaranthus	blitoides	0.56	Kubesová et al., 2010 (Ref. 630)	2012
Lupinus	graecus	0.57	Naganowska et al., 2003 (Ref. 520)	2011
Lupinus	concinnus	0.57	Naganowska et al., 2006 (Ref. 524)	2011
Lupinus	termis	0.57	Naganowska et al., 2003 (Ref. 520)	2011
Lupinus	vavilovi	0.57	Naganowska et al., 2003 (Ref. 520)	2011
Lupinus	microcarpus	0.57	Naganowska et al., 2006 (Ref. 524)	2011
Fedia	pallescens	0.57	Hidalgo et al., 2010 (Ref. 638)	2012
Aphanes	arvensis	0.58	Bennett, 1972 (Ref. 1)	1976
Atriplex	truncata	0.58	Belford and Thompson, 1981 (Ref. 150)	1991
Eruca	sativa	0.58	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Lepidium	sativum	0.58	Johnston et al., 2005 (Ref. 509)	2011
Vigna	unguiculata	0.60	Parida et al., 1990 (Ref. 166)	1995
Lupinus	albus	0.60	Bennett and Smith, 1976 (Ref. 2)	1976
Argemone	platyceras	0.60	Bennett and Smith, 1976 (Ref. 2)	1976
Glaucium	corniculatum	0.60	Bennett and Smith, 1976 (Ref. 2)	1976
Phaseolus	vulgaris	0.60	Mercado-Ruaro and Kenton, 1993 (Ref. 269-K)	1995
Amaranthus	powellii	0.60	Sun et al., 1999 (Ref. 359)	2000
Amaranthus	quitensis	0.60	Sun et al., 1999 (Ref. 359)	2000
Lupinus	anatolicus	0.60	Obermayer et al., 1999 (Ref. 369)	2000
Diplotaxis	catholica	0.60	Lysák et al., 2007 (Ref. 602)	2011
Veronica	triloba	0.61	Albach & Greilhuber, 2003 (Ref. 478)	2011
Chenopodium	murale	0.62	Ohri, 2002 (Ref. 455)	2005a
Setaria	verticillata	0.63	Bennett et al., 1997 (Ref. 270)	1997
Amaranthus	caudatus	0.63	Sun et al., 1999 (Ref. 359)	2000
Lupinus	pilosus	0.63	Obermayer et al., 1999 (Ref. 369)	2000
Chenopodium	vulvaria	0.64	Ohri, 2002 (Ref. 455)	2005a
Sorghum	timorense	0.64	Price et al., 2005 (Ref. 511)	2011
Lupinus	arizonicus	0.64	Naganowska et al., 2006 (Ref. 524)	2011
Wolffiella	gladiata	0.64	Wang et al., 2011 (Ref. 683)	2012
Tephrosia	strigosa	0.65	Raina et al., 1986 (Ref. 183)	1995
Cassia	absus	0.65	Ohri et al., 1986 (Ref. 186)	1995
Euphorbia	hirta	0.65	Bennett et al., 1998 (Ref. 375)	2000
Chenopodium	ficifolium	0.66	Ohri, 2002 (Ref. 455)	2005a
Mercurialis	annua	0.66	Obbard et al., 2006 (Ref. 544)	2011
Wolffiella	lingulata	0.67	Wang et al., 2011 (Ref. 683)	2012
Cassia	tora	0.68	Ohri et al., 1986 (Ref. 186)	1995
Cassia	occidentalis	0.68	Ohri et al., 1986 (Ref. 186)	1995
Eragrostis	tef	0.68	Bennett and Smith, 1976 (Ref. 2)	1976
Aichryson	laxum	0.68	Suda et al., 2005 (Ref. 552)	2011
Lupinus	digitatus	0.69	Naganowska et al., 2003 (Ref. 520)	2011
Aichryson	parlatorei	0.69	Suda et al., 2005 (Ref. 552)	2011
Veronica	crista-galli	0.69	Albach & Greilhuber, 2003 (Ref. 478)	2011
Lupinus	palaestinus	0.70	Naganowska et al., 2003 (Ref. 520)	2011
Kallstroemia	grandiflora	0.70	Sliwinska et al., 2009 (Ref. 624)	2012
Polygonum	lapathifolium	0.70	Band, 1984 (Ref. 154)	1991
Sisyrinchium	longipes	0.70	Kenton et al., 1986 (Ref. 177)	1995
Amaranthus	hybridus	0.70	Bennett et al., 1997 (Ref. 270)	1997
Trigonella	stellata	0.70	Bidak and Brandham, 1995 (Ref. 282)	1997
Lagenaria	vulgaris	0.70	Ingle et al., 1975 (Ref. 69)	1982
Linum	usitatissimum	0.70	Evans et al., 1972 (Ref. 7)	1976
Veronica	syriaca	0.70	Albach & Greilhuber, 2003 (Ref. 478)	2011
Eleocharis	ovata	0.70	Zedek et al., 2010 (Ref. 632)	2012
Lupinus	cosentinii	0.71	Naganowska et al., 2003 (Ref. 520)	2011
Lupinus	linearis	0.71	Naganowska et al., 2006 (Ref. 524)	2011
Veronica	triphyllos	0.71	Albach & Greilhuber, 2003 (Ref. 478)	2011
Mercurialis	huetii	0.72	Obbard et al., 2006 (Ref. 544)	2011
Eleusine	indica	0.73	Bennett and Smith, 1976 (Ref. 2)	1976
Fallopia	convolvulus	0.73	Bailey and Stace, 1992 (Ref. 213)	1995
Veronica	agrestis	0.73	Albach & Greilhuber, 2003 (Ref. 478)	2011
Cyanus	segetum	0.74	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Echinocystis	lobata	0.74	Kubesová et al., 2010 (Ref. 630)	2012
Sorghum	bicolor	0.75	Laurie and Bennett, 1985 (Ref. 132)	1991
Trifolium	tembense	0.75	Akmal, 1989 (Ref. 269-F)	1995
Phaseolus	acutifolius	0.75	Mercado-Ruaro and Kenton, 1993 (Ref. 269-K)	1995
Veronica	donii	0.75	Albach & Greilhuber, 2003 (Ref. 478)	2011
Atriplex	prostrata	0.76	Dolenc Koce et al., 2008 (Ref. 580)	2011
Chenopodium	album	0.77	Ohri, 2002 (Ref. 455)	2005a
Fedia	graciliflora	0.77	Hidalgo et al., 2010 (Ref. 638)	2012
Veronica	persica	0.78	Bennett, 1972 (Ref. 1)	1976
Cucumis	sagitattus	0.78	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Brassica	nigra	0.78	Verma and Rees, 1974 (Ref. 27)	1976
Lupinus	bracteolaris	0.78	Naganowska et al., 2006 (Ref. 524)	2011
Calibrachoa	pygmaea	0.78	Mishiba et al., 2000 (Ref. 387)	2005a
Centranthus	calcitrapae	0.78	Hidalgo et al., 2010 (Ref. 638)	2012
Biscutella	didyma	0.79	Peer et al., 2003 (Ref. 522)	2011
Wolffia	brasiliensis	0.79	Wang et al., 2011 (Ref. 683)	2012
Cucumis	anguira	0.80	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Cucumis	trigonus	0.80	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Plantago	ovata	0.80	Badr et al., 1987 (Ref. 173)	1995
Dicranostigma	franchetiana	0.80	Bennett and Smith, 1976 (Ref. 2)	1976
Cyperus	iria	0.80	Bennett et al., 1998 (Ref. 375)	2000
Volutaria	canariensis	0.80	Suda et al., 2003 (Ref. 477)	2011
Chenopodium	strictum	0.80	Kubesová et al., 2010 (Ref. 630)	2012
Lupinus	atlanticus	0.81	Naganowska et al., 2003 (Ref. 520)	2011
Cucumis	prophetarum	0.83	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Oryza	glaberrima	0.83	Iyengar and Sen, 1978 (Ref. 95)	1982
Veronica	cymbalaria	0.83	Albach & Greilhuber, 2003 (Ref. 478)	2011
Cannabis	sativa	0.84	Sakamoto et al., 1998 (Ref. 414)	2005a
Salvia	splendens	0.85	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Lycopersicon	pimpinellifolium	0.85	Bennett and Smith, 1976 (Ref. 2)	1976
Haplopappus	ravenii	0.85	Jackson et al., 1993 (Ref. 244)	1995
Polygonum	aviculare	0.85	Marie and Brown, 1993 (Ref. 290)	1997
Amaranthus	retroflexus	0.85	Bennett et al., 1998 (Ref. 375)	2000
Luffa	cylindrica	0.85	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Fedia	cf. cornucopiae	0.85	Hidalgo et al., 2010 (Ref. 638)	2012
Centaurea	solstitialis	0.87	Bancheva & Greilhuber, 2006 (Ref. 529)	2011
Wolffia	elongata	0.87	Wang et al., 2011 (Ref. 683)	2012
Byblis	liniflora	0.89	Hanson et al., 2001 (Ref. 378)	2005a
Sesamum	mulayanum	0.89	Hiremath et al., 2001 (Ref. 446)	2005a
Digitaria	ternata	0.89	Adoukonou-Sagbadja et al., 2007 (Ref. 556)	2011
Wolffia	columbiana	0.89	Wang et al., 2011 (Ref. 683)	2012
Schouwia	purpurea	0.89	Lysák et al., 2007 (Ref. 602)	2011
Fedia	cornucopiae	0.90	Hidalgo et al., 2010 (Ref. 638)	2012
Cucumis	sativus	0.90	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Cucumis	africanus	0.90	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Crepis	fuliginosa	0.90	Wallace et al., 1972 (Ref. 29)	1976
Cannabis	ruderalis	0.91	Kubesová et al., 2010 (Ref. 630)	2012
Wolffia	borealis	0.91	Wang et al., 2011 (Ref. 683)	2012
Atriplex	portulacoides	0.92	Dolenc Koce et al., 2008 (Ref. 580)	2011
Digitaria	iburua	0.92	Adoukonou-Sagbadja et al., 2007 (Ref. 556)	2011
Plantago	crypsoides	0.93	Badr et al., 1987 (Ref. 173)	1995
Lycopersicon	hirsutum	0.93	Bennett and Smith, 1976 (Ref. 2)	1976
Lycopersicon	humboldtii	0.93	Bennett and Smith, 1976 (Ref. 2)	1976
Cicer	judaicum	0.93	Ohri and Pal, 1991 (Ref. 210)	1995
Lycopersicon	cheesemanii	0.93	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Lupinus	angustifolius	0.93	Barlow, 1981 (Ref. 58)	1982
Lupinus	cryptanthus	0.93	Naganowska et al., 2003 (Ref. 520)	2011
Kickxia	scoaria	0.94	Suda et al., 2005 (Ref. 552)	2011
Lupinus	linifolius	0.94	Naganowska et al., 2003 (Ref. 520)	2011
Euryale	ferox	0.95	Diao et al., 2006 (Ref. 626)	2012
Cicer	arietinum	0.95	Bennett and Smith, 1976 (Ref. 2)	1976
Trifolium	bilineatum	0.95	Akmal, 1989 (Ref. 269-F)	1995
Trifolium	quartinianum	0.95	Akmal, 1989 (Ref. 269-F)	1995
Trifolium	steudneri	0.95	Akmal, 1989 (Ref. 269-F)	1995
Amaranthus	spinosus	0.95	Bennett et al., 1998 (Ref. 375)	2000
Atriplex	rosea	0.95	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Cucumis	melo	0.95	Ingle et al., 1975 (Ref. 69)	1982
Veronica	peregrina	0.95	Albach & Greilhuber, 2003 (Ref. 478)	2011
Sesamum	latifolium	0.95	Hiremath et al., 2001 (Ref. 446)	2005a
Calibrachoa	parviflora	0.96	Mishiba et al., 2000 (Ref. 387)	2005a
Sesamum	indicum	0.97	Hiremath et al., 2001 (Ref. 446)	2005a
Sida	spinosa	0.98	Bennett et al., 1998 (Ref. 375)	2000
Crotalaria	retusa	0.98	Gupta, 1976 (Ref. 65)	1982
Clarkia	biloba	0.98	Narayan, 1978 (Ref. 77)	1982
Digitaria	exilis	0.98	Adoukonou-Sagbadja et al., 2007 (Ref. 556)	2011
Centranthus	macrosiphon	0.99	Hidalgo et al., 2010 (Ref. 638)	2012
Wolffiella	hyalina	0.99	Wang et al., 2011 (Ref. 683)	2012
Vigna	glabrescens	1.00	Parida et al., 1990 (Ref. 166)	1995
Lupinus	luteus	1.00	Bennett and Smith, 1976 (Ref. 2)	1976
Lycopersicon	racemiflorum	1.00	Bennett and Smith, 1976 (Ref. 2)	1976
Cassia	obtusifolia	1.00	Bennett et al., 1998 (Ref. 375)	2000
Amsinckia	douglasiana	1.00	Hanson et al., 1999 (Ref. 377)	2000
Silene	coeli-rosa	1.00	Miller and Lyndon, 1977 (Ref. 74)	1982
Galium	aparine	1.03	Band, 1984 (Ref. 154)	1991
Tephrosia	leptostachya	1.03	Raina et al., 1986 (Ref. 183)	1995
Lycopersicon	esculentum	1.03	Bennett and Smith, 1976 (Ref. 2)	1976
Lycopersicon	racemigerum	1.03	Bennett and Smith, 1976 (Ref. 2)	1976
Spinacia	oleracea	1.03	Barlow, 1981 (Ref. 58)	1982
Sorghum	macrospermum	1.04	Price et al., 2005 (Ref. 511)	2011
Panicum	miliaceum	1.04	Kubesová et al., 2010 (Ref. 630)	2012
Stellaria	media	1.05	Bennett, 1972 (Ref. 1)	1976
Panicum	thermale	1.05	Galbraith et al., 1983 (Ref. 240)	1995
Lupinus	hispanicus	1.05	Obermayer et al., 1999 (Ref. 369)	2000
Spergula	arvensis	1.05	Bennett et al., 1998 (Ref. 375)	2000
Benincasa	hispida	1.05	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Sorghum	ecarinatum	1.05	Price et al., 2005 (Ref. 511)	2011
Suaeda	maritima	1.06	Dolenc Koce et al., 2008 (Ref. 580)	2011
Xeranthemum	annuum	1.07	Garnatje et al., 2004 (Ref. 502)	2011
Calandrinia	polyandra	1.07	Morgan & Westoby, 2005 (Ref. 526)	2011
Cucumis	dinteri	1.08	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Luzula	lutea	1.08	Barlow and Nevin, 1976 (Ref. 36)	1976
Crepis	zacintha	1.08	Brown and Jone, 1975 (Ref. 42)	1976
Sorghum	stipoideum	1.10	Price et al., 2005 (Ref. 511)	2011
Lamium	purpureum	1.10	Bennett, 1972 (Ref. 1)	1976
Myosurus	minimus	1.10	Bennett and Smith, 1976 (Ref. 2)	1976
Amsinckia	spectabilis	1.10	Hanson et al., 1999 (Ref. 377)	2000
Lotus	edulis	1.10	Borsos, 1973 (Ref. 51)	1976
Trichosanthes	anguina	1.10	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Clarkia	xantiana	1.10	Narayan, 1978 (Ref. 77)	1982
Wolffia	cylindracea	1.10	Wang et al., 2011 (Ref. 683)	2012
Crepis	pusilla	1.11	Enke et al., 2011 (Ref. 670)	2012
Trifolium	repens	1.12	Vizintin et al., 2006 (Ref. 534)	2011
Kochia	scoparia	1.12	Kubesová et al., 2010 (Ref. 630)	2012
Cucumis	heptadactylus	1.13	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Vigna	aconitifolia	1.13	Lakhanpaul and Babu, 1991 (Ref. 279)	1997
Glycine	max	1.13	Greilhuber and Obermayer, 1996 (Ref. 298)	1997
Eschscholzia	californica	1.13	Bennett et al., 1999 (Ref. 373)	2000
Brachycome	dichromosomatica	1.13	Houben et al., 2000 (Ref. 376)	2000
Lotus	arenarius	1.13	Borsos, 1973 (Ref. 51)	1976
Crotalaria	lanceolata	1.13	Gupta, 1976 (Ref. 65)	1982
Carthamus	leucocaulos	1.13	Garnatje et al., 2006 (Ref. 536)	2011
Plantago	arenaria	1.14	Sen and Sharma, 1990 (Ref. 388)	2005a
Sorghum	intrans	1.14	Price et al., 2005 (Ref. 511)	2011
Impatiens	glandulifera	1.15	Mowforth, 1986 (Ref. 158)	1991
Glycine	soja	1.15	Hammatt et al., 1991 (Ref. 165)	1995
Lycopersicon	peruvianum	1.15	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Daucus	aureus	1.15	Owens, 1974 (Ref. 25)	1976
Agoseris	heterophylla	1.15	Price and Bachmann, 1975 (Ref. 47)	1976
Sorghum	bulbosum	1.15	Price et al., 2005 (Ref. 511)	2011
Plantago	afra	1.15	Sen and Sharma, 1990 (Ref. 388)	2005a
Ambrosia	artemisiifolia	1.16	Kubesová et al., 2010 (Ref. 630)	2012
Hypochaeris	laevigata	1.17	Cerbah M et al., 1999 (Ref. 666)	2012
Poa	infirma	1.18	Bennett, 1972 (Ref. 1)	1976
Lapsana	communis	1.18	Band, 1984 (Ref. 154)	1991
Tagetes	patula	1.18	Bennett et al., 1999 (Ref. 373)	2000
Atriplex	hortensis	1.18	Bennett MD, Smith JB, Heslop-Harrison, 1982 (Ref. 55)	1982
Silene	pendula	1.18	Siroký et al., 2001 (Ref. 437)	2005a
Sesamum	laciniatum	1.18	Hiremath et al., 2001 (Ref. 446)	2005a
Verbena	rigida	1.19	Hanson et al., 2005 (Ref. 612)	2011
Oenothera	lamarckiana	1.19	Zonneveld et al., 2005 (Ref. 466)	2005b
Cucumis	metuliferus	1.20	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Anethum	graveolens	1.20	Olszewska and Osiecka, 1983 (Ref. 156)	1991
Amaranthus	edulis	1.20	Ohri et al., 1981 (Ref. 209)	1995
Microseris	douglasii	1.20	Michaelson et al., 1991 (Ref. 229)	1995
Digitaria	sanguinalis	1.20	Bennett et al., 1998 (Ref. 375)	2000
Clarkia	lingulata	1.20	Narayan, 1978 (Ref. 77)	1982
Wolffia	neglecta	1.20	Wang et al., 2011 (Ref. 683)	2012
Sesamum	capense	1.21	Hiremath et al., 2001 (Ref. 446)	2005a
Lupinus	texensis	1.22	Price et al., 2005 (Ref. 511)	2011
Carthamus	nitidus	1.22	Garnatje et al., 2006 (Ref. 536)	2011
Cucumis	dipsaceus	1.23	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Cucumis	humifructus	1.23	Ramachandran and Narayan, 1985 (Ref. 127)	1991
Centaurium	erythraea	1.23	Band, 1984 (Ref. 154)	1991
Senecio	vernalis	1.23	Bennett and Smith, 1976 (Ref. 2)	1976
Amaranthus	tricolor	1.23	Ohri et al., 1981 (Ref. 209)	1995
Lycopersicon	pennellii	1.23	Arumuganathan and Earle, 1991 (Ref. 227)	1995
Rhynchosia	aurea	1.23	Ohri, 1996 (Ref. 303)	1997
Setaria	glauca	1.23	Bennett et al., 1998 (Ref. 375)	2000
Crotalaria	juncea	1.23	Gupta, 1976 (Ref. 65)	1982
Physorhynchus	chamaerapistrum	1.24	Lysák et al., 2007 (Ref. 602)	2011
Nemophila	menziesii	1.25	Hanson et al., 2002 (Ref. 465)	2005a
Sorghum	laxiflorum	1.25	Price et al., 2005 (Ref. 511)	2011
Artedia	squamata	1.25	Le et al., 1978 (Ref. 118)	1991
Plantago	lagopus	1.25	Badr et al., 1987 (Ref. 173)	1995
Cicer	cuneatum	1.25	Ohri and Pal, 1991 (Ref. 210)	1995
Eleusine	verticillata	1.25	Hiremath and Salimath, 1991 (Ref. 218)	1995
Daucus	syrticus	1.25	Owens, 1974 (Ref. 25)	1976
Galinsoga	parviflora	1.25	Bennett et al., 1998 (Ref. 375)	2000
Crotalaria	verrucosa	1.25	Gupta, 1976 (Ref. 65)	1982
Clarkia	cylindrica	1.25	Narayan, 1978 (Ref. 77)	1982
Echinops	strigosus	1.25	Garnatje et al., 2004 (Ref. 502)	2011
Sorghum	matarankense	1.26	Price et al., 2005 (Ref. 511)	2011
Arachis	duranensis	1.27	Temsch and Greilhuber, 2001 (Ref. 396)	2005a
Cicer	bijugum	1.28	Ohri and Pal, 1991 (Ref. 210)	1995
Cicer	pinnatifidum	1.28	Ohri and Pal, 1991 (Ref. 210)	1995
Clarkia	dudleyana	1.28	Narayan, 1978 (Ref. 77)	1982
Cajanus	albicans	1.29	Ohri and Singh, 2002 (Ref. 443)	2005a
Digitaria	ciliaris	1.29	Adoukonou-Sagbadja et al., 2007 (Ref. 556)	2011
Mercurialis	annua	1.30	Obbard et al., 2006 (Ref. 544)	2011
Juncus	bufonius	1.30	Band, 1984 (Ref. 154)	1991
Eleusine	multiflora	1.30	Hiremath and Salimath, 1991 (Ref. 218)	1995
Hypochaeris	glabra	1.30	Marañón and Grubb, 1993 (Ref. 274)	1997
Cicer	echinospermum	1.30	Galasso et al., 1996 (Ref. 277)	1997
Amsinckia	furcata	1.30	Hanson et al., 1999 (Ref. 377)	2000
Lotus	ornithopoides	1.30	Borsos, 1973 (Ref. 51)	1976
Carthamus	oxyacantha	1.31	Garnatje et al., 2006 (Ref. 536)	2011
Salsola	soda	1.31	Dolenc Koce et al., 2008 (Ref. 580)	2011
Navarretia	squarrosa	1.32	Hanson et al., 2001 (Ref. 378)	2005a
Wolffia	globosa	1.32	Wang et al., 2011 (Ref. 683)	2012
Tephrosia	incana	1.33	Raina et al., 1986 (Ref. 183)	1995
Echinochloa	frumentacea	1.33	Bennett and Smith, 1976 (Ref. 2)	1976
Senecio	leucanthemifolius	1.33	Bennett and Smith, 1976 (Ref. 2)	1976
Cicer	reticulatum	1.33	Galasso et al., 1996 (Ref. 277)	1997
Tropaeolum	majus	1.33	Nagl, 1976 (Ref. 85)	1982
Carthamus	persicus	1.33	Garnatje et al., 2006 (Ref. 536)	2011
Chenopodium	opulifolium	1.33	Ohri, 2002 (Ref. 455)	2005a
Digitaria	lecardii	1.33	Adoukonou-Sagbadja et al., 2007 (Ref. 556)	2011
Sesamum	radiatum	1.33	Hiremath et al., 2001 (Ref. 446)	2005a
